Context	en_US	en_GB	de_DE	is_IS	it_IT	ru_RU	uk_UA	fr_FR	es_ES	ko_KR	ja_JP	zh_CN
MenuBar	Preferences	Preferences	Einstellungen	Forstillingar	Preferenze	Персональные настройки	Налаштування	Préférences	Preferencias	환경 설정	好み	偏好设置
MenuBar	Image Actions	Image Actions	Musterbearbeitung	Mynda aðgerðir	Azioni immagine	Действия с изображением	Дії з зображенням	Image	Imagen	이미지 변경	イメージアクション	图像操作
MenuBar	Open Image File	Open Image File	Muster öffnen	Hlaðið myndskrá	Carica l'immagine	Загрузить изображение	Завантажити зображення	Charger une image	Cargar archivo de imagen	이미지 파일 부르기	イメージファイルの読み込み	读取图像文件
MenuBar	Load AYAB Firmware	Load AYAB Firmware	AYAB Firmware aufspielen	Uppfæra AYAB hugbúnað	Carica il firmware AYAB	Загрузить прошивку AYAB	Завантажити прошивку AYAB	Chargement du firmware AYAB	Cargar el firmware AYAB	AYAB 펌웨어 설정	AYABのファームウェアをロードする	读取AYAB固件
MenuBar	Test AYAB Device	Test AYAB Device	AYAB-Gerät testen	Prófa AYAB tæki	Test dispositivo AYAB	Проверить устройство AYAB	Перевірити пристрій AYAB	Test de l'appareil AYAB	Probar dispositivo AYAB	AYAB 장치 테스트	AYABデバイスをテストする	测试AYAB设备
MenuBar	Knit	Knit	Stricken	Prjónið	Lavora	Вязание	В'язання	Tricoter	Tejer	니트!	編む	编织
MenuBar	Cancel Knitting	Cancel Knitting	Stricken abbrechen	Hætta við prjón	Annulla lavorazione	Отменить вязание	Скасувати в'язання	Annuler le tricot	Anular tejido	니팅 취소	編みをキャンセル	取消编织
MenuBar	Quit	Quit	Beenden	Hætta	Chiudi	Выход	Вихід	Quitter	Salir	끝내기	やめる	退出
MenuBar	Help – About	Help – About	Hilfe – Über	Hjálp – Um	Aiuto – Informazioni	Помощь	Допомога – Про	Aide – À propos	Ayuda – Sobre	도움 - 관하여	ヘルプ - について	帮助-关于
MenuBar	Help	Help	Hilfe	Hjálp	Aiuto	Помощь	Допомога	Aide	Ayuda	도움	ヘルプ	帮助
MenuBar	Invert	Invert	Invertieren	Hvolfa	Inverti	Инвертировать	Інвертувати	Inverser	Invertir	뒤집기	反転する	反色
MenuBar	Stretch	Stretch	Strecken	Teygja	Allunga	Растянуть	Розтягнути	Etirer	Tramo	늘리기	ストレッチする	拉伸
MenuBar	Repeat	Repeat	Wiederholen	Endurtaka	Ripeti	Повторить	Повторити	Répéter	Repetir	반복	繰り返す	重复
MenuBar	Reflect	Reflect	Spiegeln	Endurspegla	Rifletti	Отразить	Відобразити	Refléter	Reflejar	반영	反映する	镜像
MenuBar	Horizontal Flip	Horizontal Flip	Horizontal spiegeln	Snúa lárétt	Inverti orizzontale	Отражение по горизонтали	Відобразити по горизонталі	Retourner horizontal	Volteo horizontal	수평 뒤집기	水平反転	水平翻转
MenuBar	Vertical Flip	Vertical Flip	Vertikal spiegeln	Snúa lóðrétt	Inverti verticale	Отражение по вертикали	Відобразити по вертикалі	Retourner vertical	Volteo vertical	수직 뒤집기	垂直反転	垂直翻转
MenuBar	Rotate Left	Rotate Left	Links drehen	Snúa til vinstri	Ruota a sinistra	Поворот влево	Обертати ліворуч	Rotation à gauche	Girar a la izquierda	왼쪽으로 돌리기	左に回転	左转
MenuBar	Rotate Right	Rotate Right	Rechts drehen	Snúa til hægri	Ruota a destra	Поворот вправо	Обертати праворуч	Rotation à droite	Girar a la derecha	오른쪽으로 돌리기	右に回転	右转
MenuBar	Set Preferences	Set Preferences	Einstellungen festlegen	Setjið forstillingar	Imposta preferenze	Установить персональные настройки	Встановити налаштування	Indiquez vos préférences	Cofigurar preferencias	기본 설정	環境設定を設定する	设置偏好
MenuBar	Zoom In	Zoom In	Vergrößern	Stækka	Zoom in	Приблизить	Збільшити	Zoomer	Alejar	확대	ズームイン	放大
MenuBar	Zoom Out	Zoom Out	Verkleinern	Minnka	Zoom out	Отдалить	Зменшити	Dézoomer	Alejar	축소	ズームアウト	缩小
Mirrors	Reflect image	Reflect image	Muster spiegeln	Endurspegla mynd	Rifletti l'immagine	Отразить изображение	Відобразити зображення	Refléter l'image	Reflejar imagen	이미지 반영	イメージを反映する	倒映图像
Mirrors	Add mirrors	Add mirrors	Spiegelungen hinzufügen	Spegla	Specchia	Добавить зеркальное отражение	Додати дзеркальне відображення	Miroirs	Agregar espejos	반영 추가	ミラーを追加するる	添加镜像
Mirrors	Left	Left	Links	Vinstri	Sinistra	Слева	Ліворуч	Gauche	Izquierda	왼쪽	左	左
Mirrors	Right	Right	Rechts	Hægri	Destra	Справа	Праворуч	Droite	Derecha	오른쪽	右	右
Mirrors	Top	Top	Oben	Efst	Sopra	Сверху	Верх	Haut	Arriba	맨위	上	顶
Mirrors	Bottom	Bottom	Unten	Neðst	Sotto	Снизу	Низ	Bas	Abajo	맨아래	底	底
Mirrors	OK	OK	OK	Í lagi	Conferma	ОК	ОК	Confirmer	OK	예	オッケー	OK
Prefs	Set Preferences	Set Preferences	Einstellungen festlegen	Setjið forstillingar	Imposta preferenze	Установить персональные настройки	Встановити налаштування	Indiquez vos préférences	Cofigurar preferencias	기본 설정	環境の設定を設定する	设置偏好
Prefs	Machine	Machine	Maschine	Vél	Macchina	Машина	Машина	Machine	Máquina	기계	マシン	机器
Prefs	Settings	Settings	Einstellungen	Stillingar	Impostazioni	Настройки	Налаштування	Paramètres	Ajustes	설정	設定	设置
Prefs	Default Knitting Mode	Default Knitting Mode	Vorauswahl Strickmodus	Sjálfgefinn prjónahamur	Modalità di lavorazione automatica	Режим вязания по умолчанию	Режим в'язання за замовчуванням	Mode tricot par défaut	Método de tejer por defecto	기본 니팅 모드	デフォルトの編みモード	默认编织模式
Prefs	Default Knit Side Image	Default Knit Side Image	Vorauswahl Spiegelbild	Mynd af vorauswahl	Immagine di lavorazione automatica	Отражать рисунок по умолчанию	Зображення в'язання за замовчуванням	Image miroir par défaut	Imagen espejo por defecto	기본 니트 사이드 이미지	デフォルトの編み側の画像	默认编织侧图像
Prefs	Default Infinite Repeat	Default Infinite Repeat	Vorauswahl Unendlich wiederholen	Sjálfgefin endurtekning	Ripetizione automatica	Повторение по умолчанию	Нескінченне повторення за замовчуванням	Répétition a l'infini par défaut	Repetición por defecto infinita	기본 무한 반복	デフォルトの無限リピート	默认无限重复
Prefs	Default Alignment	Default Alignment	Vorauswahl Ausrichtung	Sjálfgefin jöfnun	Allineamento automatico	Выравнивание по умолчанию	Вирівнювання за замовчуванням	Alignement par défaut	Alineación por defecto	기본 정렬	デフォルトの配置	默认对齐
Prefs	Default Mirroring	Default Mirroring	Vorauswahl Spiegelung	Sjálfgefin speglun	Ribaltamento automatico	Зеркальное отображение по умолчанию	Дзеркальне відображення за замовчуванням	Image miroir par défaut	Reflejo por defecto	기본 미러링	デフォルトのミラーリング	默认镜像
Prefs	Aspect Ratio	Aspect Ratio	Seitenverhältnis	Hlutfall myndarhlutfall	Rapporto d'aspetto	Отношение сторон	Співвідношення сторін	Rapport d'aspect	Relación de aspecto	비율	アスペクト比	宽高比
Prefs	Disable Hardware Beep	Disable Hardware Beep	Hardware-Beep deaktivieren	Afvirkja hljóðkerfið	Disabilita segnale acustico	Отключить встроенный динамик	Вимкнути звуковий сигнал	Désactiver le bip	Desactivar pitido	하드웨어 비프음 끄기	ハードウェアビープを無効にする	禁用硬件蜂鸣
Prefs	Lower Display Stitch Width	Lower Display Stitch Width	Anzeige der Maschenbreite verringern	Lækka breidd myndarhlutfalls	Abbassa larghezza immagine	Ширина стежка в нижнем окне	Зменшити ширину зображення	Réduire la largeur de l'image	Disminuir el ancho de la imagen	하단 디스플레이 스티치 너비 줄이기	下部ディスプレイステッチ幅を下げる	降低显示针宽度
Prefs	Quiet Mode	Quiet Mode	Lautlos	Hljóðlaus stilling	Modalità silenziosa	Без звука	Режим без звуку	Mode silencieux	Modo silencioso	저소음 모드	静穏モード	静默模式
Prefs	Language	Language	Sprache	Tungumál	Lingua	Язык	Мова	Langue	Lenguaje	언어	言語	语言
Prefs	OK	OK	OK	Í lagi	Conferma	ОК	ОК	Confirmer	OK	예	オッケー	OK
Prefs	Reset	Reset	Zurücksetzen	Endurstilla	Resetta	Сброс	Скинути за замовчуванням	Réinitialiser	Reiniciar	리셋	リセット	重置
Progress	Progress	Progress	Fortschritt	Staða	Progressione	Прогресс	Прогрес	Progrès	Progreso	진행	進捗	进程
KnitProgress	Row	Row	Zeile	Umferð	Giro	Ряд	Ряд	Rang	Fila	단	段	行
KnitProgress	Pass	Pass	Durchgang	Endurtekning	Passa	Пройти	Пропуск	Passage	Paso	통과	渡す	通过
KnitProgress	Color	Colour	Farbe	Litur	Colore	Цвет	Колір	Couleur	Color	색상	色	颜色
KnitProgress	To Be Selected	To Be Selected	Auswählen	Þarf að velja	Selezionare	Иглы к выбору	Вибрати	À sélectionner	Por seleccionar	선택할 것	選択する	待选
NeedleColor	green	green	grün	grænn	verde	зелёный (зеленый)	зелений	vert	verde	녹색	みどり	绿
NeedleColor	orange	orange	orange	appelsínugulur	arancione	оранжевый	помаранчевий	orange	naranja	오렌지색	オレンジ	橙
KnitMode	Singlebed	Singlebed	Einzelbett	Eitt borð	Frontura singola	Однофонтурное вязание	Однофонтурне	Fonture simple	Frontura simple	싱글 배드	シングルベッド	单主机
KnitMode	Ribber: Classic	Ribber: Classic	Doppelbett: Klassisch	Ribber: Klassískt	2a Frontura: Classico	двухфонтурное: Классика	Двофонтурне: Класика	2ème Fonture: Classique	Doble frontura: Clásico	고무단클래식	リバー：クラシック	罗纹副机：经典模式
KnitMode	Ribber: Middle-Colors-Twice	Ribber: Middle-Colours-Twice	Doppelbett: Middle-Colors-Twice	Ribber: Miðlitur-Tvisvar	2a Frontura: Middle-Colors-Twice	двухфонтурное: Средний-цвет-дважды	Двофонтурне: Подвоєння середнього кольору	2ème Fonture: Middle-Colors-Twice	Doble frontura: Colores medios dos veces	고무단중간-색-두번		罗纹副机：Middle-Colors-Twice
KnitMode	Ribber: Heart of Pluto	Ribber: Heart of Pluto	Doppelbett: Heart of Pluto	Ribber: Heart of Pluto	2a Frontura: Heart of Pluto	двухфонтурное: сердце Плутона	Двофонтурне: серце Плутона	2ème Fonture: Heart of Pluto	Doble frontura: Heart of Pluto	고무단 Heart of Pluto		罗纹副机：冥王之心
KnitMode	Ribber: Circular	Ribber: Circular	Doppelbett: Rundstricken	Ribber: Hringuprjón	2a Frontura: Circolare	двухфонтурное: Круговое	Двофонтурне: По колу	2ème Fonture: Circulaire	Doble frontura: Circular	고무단원형		罗纹副机：圆织
Alignment	Center	Centre	Zentriert	Miðja	Centra	По центру	Центр	Centre	Centrar	중앙	中心	中心
Alignment	Left	Left	Links	Vinstri	Sinistra	Слева	Ліворуч	Gauche	Izquierda	왼쪽	左	左
Alignment	Right	Right	Rechts	Hægri	Destra	Справа	Праворуч	Droite	Derecha	오른쪽	右	右
KnitEngine	Simulation	Simulation	Simulation	Hermir	Simulazione	Моделирование	Моделювання	Simulation	Simulación	시뮬레이션	シミュレーション	模拟
Notifications	Invalid needle start and end.	Invalid needle start and end.	Ungültige Startnadel oder Endnadel.	Röng upphafs- og enda-nál.	Ago iniziale e finale invalidi.	Неправильная начальная или конечная игла	Неправильна стартова або кінцева голка.	Erreur sur la première et dernière aiguille du tricot.	Inicio y fin de la aguja no válidos.	바늘 시작이나 끝이 잘못 됐습니다.	無効な針の開始と終了	无效的织针起始和结束。
Notifications	Start row is larger than the image.	Start row is larger than the image.	Die Startzeile ist höher als das Muster.	Byrjunaröð er stærri en mynd.	Il giro d'inizio è più grande dell'immagine.	Начальный ряд больше изображения.	Початковий ряд більший за зображення.	Le premier rang est plus grand que l'image.	La fila de inicio es más grande que la imagen.	시작 단이 이미지보다 큼니다.	イメージより開始段が大きいです	起始行比图像大。
Notifications	Please choose a valid port.	Please choose a valid port.	Bitte wählen Sie einen gültigen Port.	Veljið rétt tengi.	Scegli una porta seriale valida.	Пожалуйста, выберите действующий порт.	Виберіть дійсний порт.	Veuillez choisir un port valide.	Elija un puerto válido.	유효한 포트를 선택하세요.	有効なポートを選んでください	请选择一个有效端口。
Notifications	Single bed knitting currently supports only 2 colors.	Single bed knitting currently supports only 2 colours.	Einzelbettstricken unterstützt nur 2 Farben.	Stilling styður bara tvo liti.	La lavorazione in frontura singola supporta solo 2 colori.	Однофонтурное вязание поддерживает только двухцветное вязание.	Однофонтурне в'язання підтримує лише 2 кольори.	Le tricot en simple fonture est limité à deux couleurs.	El tejido de una frontura actualmente solo soporta 2 colores.	싱글배드 니팅은 2가지 색만 지원합니다.	現在、シングルベッド編み物は２色のみサとなります。	单主机编织当前只支持双色。
Notifications	Circular knitting supports only 2 colors.	Circular knitting supports only 2 colours.	Rundstricken unterstützt nur 2 Farben.	Hringprjón styður bara tvo liti.	La lavorazione circolare supporta solo 2 colori.	Круговое вязание поддерживает только двухцветное вязание.	В'язання по колу підтримує лише 2 кольори.	Le mode tricot circulaire est limité à deux couleurs.	Tejido circular soporta solo 2 colores.	원형 니팅은 2가지 색만 지원합니다.	丸編みは２色のみとなります。	圆织只支持双色。
Notifications	Connecting to machine...	Connecting to machine...	Verbinde zur Maschine...	Tengist vél...	Connessione in corso…	Подключение к машине.	Підключення до машини...	Connection en cours...	Conexión a la máquina.	기계에 연결 중...	機械に接続しています…	正在连接机器…
Notifications	Please start machine. (Set the carriage to mode KC-I or KC-II and move the carriage over the left turn mark).	Please start machine. (Set the carriage to mode KC-I or KC-II and move the carriage over the left turn mark).	Bitte starten Sie die Maschine. (Stellen Sie den Schlitten auf KC-I oder KC-II und bewegen Sie den Schlitten über die linke Umkehrmarke.)	Kveikið á vélinni. (Stillið vagninn á KC-I eða KC-II og færið vagninn til vinstri yfir skynjarann).	Avvia la macchina. (Imposta il carrello su KC-I o KC-II e sposta il carrello oltre il segno sinistro d'inizio.)	Пожалуйста, включите машину. (установите каретку в положение КС-1 или КС-2 и переведите каретку влево за датчик).	Будь ласка, запустіть машину. (Налаштуйте каретку на KC-I або KC-II і перемістіть каретку ліворуч за датчик.)	Veuillez démarrer la machine. (Mettre le chariot sur le mode KC-I ou KCII et le placer sur le côté gauche).	Por favor, inicie la máquina. (Ajuste el carro al modo KC-I o KC-II y mueva el carro sobre la marca de giro a la izquierda).	기계를 시작하세요.(캐리지의 체인지놉을 KC-I 또는 KC-II로 설정하고 캐리지를 왼쪽 센서 넘어로 이동).	機械を起動してください。（キャリジをKC IかKC II　モードに設定して、キャリジを左折マークを超えて移動します。　	请启动机器（将机头设为KC-I或KC-II模式后左移到机床的返回标上）。
Notifications	Wrong Arduino firmware version. Please check that you have flashed the latest version.	Wrong Arduino firmware version. Please check that you have flashed the latest version.	Falsche Arduino-Firmware-Version.	Röng Arduino hugbúnaðarútgáfa. Vinsamlegast kannið hvort þú hafir nýjustu útgáfuna.	Versione del firmware di Arduino errata. Controlla di aver eseguito correttamente il flash all'ultima versione.	Неправильная прошивка версии ардуино. Пожалуйста, проверьте что Вы установили последюю версию.	Неправильна версія прошивки Arduino. Перевірте, чи встановлено останню версію.	Mauvaise version du firmware Arduino. Vérifiez que vous avez la dernière version.	Versión incorrecta del firmware de Arduino. Por favor, compruebe que ha flasheado la última versión.	아두이노 펌웨가 문제가 있습니다. 최신 버전인지 체크해 주세요.	Arduinoファームウェアバージョンが間違っています。最新バージョンをフラシュしていることを確認てください。	错误的Arduino固件版本，请确认已经刷到最新版本。
Notifications	Please knit.	Please knit.	Bitte fangen Sie an zu stricken.	Vinsamlegast prjónið.	Inizia il lavoro.	Вяжите, пожалуйста.	В'яжіть будь-ласка.	Commencez le tricot.	Comience a tejer.	니트 시작	編んでください。	请编织。
Notifications	Device not ready, try again.	Device not ready, try again.	Gerät nicht bereit, bitte versuchen Sie es erneut.	Tækið ekki tilbúið, reyndu aftur.	Il dispositivo non è pronto, riprova.	Устройство не отвечает, повторите попытку.	Пристрій не готовий. Повторіть спробу.	La machine n'est pas prête, essayez encore.	Dispositivo no listo, inténtelo de nuevo.	장비가 준비 되지 않았음. 다시 시도.	デバイスの準備ができていません。もう一度お試しください。	设备尚未准备好，请再试。
Notifications	Image transmission finished. Please knit until you hear the double beep sound.	Image transmission finished. Please knit until you hear the double beep sound.	Musterübertragung beendet. Bitte stricken Sie, bis Sie den doppelten Piepton hören.	Myndhleðslu lokið. Prjónið þangað til þú heyrir tvöfalt píphljóð.	Trasferimento dell'immagine finito. Lavora finché senti il doppio bip.	Передача изображения завершена. Вяжите после того как услышите двойной звуковой сигнал.	Передачу зображення завершено. Будь ласка, в'яжіть, поки не почуєте подвійний звуковий сигнал.	Image transmise. Tricotez jusqu'à ce que vous entendiez un double bip.	Transmisión de imagen terminada. Por favor, tejer hasta que escuche el sonido de doble pitido.	이미지 전송이 완료 됐습니다. 삐소리가 2번 들릴 때까지 뜨세요.	イメージの送信が完了しました。 「ピー」という音が2回聞こえるまで編んでください。	图像转换结束，请编织直至听到两次哔声。
Notifications	Knitting canceled.	Knitting cancelled.	Stricken abgebrochen.	Hætt við prjón.	Lavorazione eliminata.	Вязание завершено	В’язання скасовано.	Annulation du tricot.	Tejido de punto cancelado.	니팅을 취소합니다.	編み物がキャンセルしました。	编织已取消。
VersionChecker	A new version of the AYAB desktop software has been released!&lt;br&gt;You are using version &lt;strong&gt;{current_version}&lt;/strong&gt;; you can download version &lt;strong&gt;{latest_version}&lt;/strong&gt; using this link:	A new version of the AYAB desktop software has been released!&lt;br&gt;You are using version &lt;strong&gt;{current_version}&lt;/strong&gt;; you can download version &lt;strong&gt;{latest_version}&lt;/strong&gt; using this link:	Eine neue Version der AYAB-Desktop-Software wurde veröffentlicht!&lt;br&gt;Sie verwenden Version &lt;strong&gt;{current_version}&lt;/strong&gt;; Sie können Version &lt;strong&gt;{latest_version}&lt;/strong&gt; unter diesem Link herunterladen:	Ný útgáfa af AYAB skrifborðs forritinu hefur verið gefin út!&lt;br&gt;Þú ert að nota útgáfu &lt;strong&gt;{current_version}&lt;/strong&gt;; þú getur hlaðið niður útgáfu &lt;strong&gt;{latest_version}&lt;/strong&gt; með því að nota þennan hlekk:	È stata rilasciata una nuova versione del software desktop AYAB!&lt;br&gt;Stai usando la versione &lt;strong&gt;{current_version}&lt;/strong&gt;; puoi scaricare la versione &lt;strong&gt;{latest_version}&lt;/strong&gt; tramite questo link:	Вышла новая версия программного обеспечения AYAB!&lt;br&gt;Вы используете версию &lt;strong&gt;{current_version}&lt;/strong&gt;; вы можете загрузить версию &lt;strong&gt;{latest_version}&lt;/strong&gt; по этой ссылке:	Вийшла нова версія програмного забезпечення AYAB!&lt;br&gt;Ви використовуєте версію &lt;strong&gt;{current_version}&lt;/strong&gt;; ви можете завантажити версію &lt;strong&gt;{latest_version}&lt;/strong&gt; за цим посиланням:	Une nouvelle version du logiciel AYAB a été publiée !&lt;br&gt;Vous utilisez la version &lt;strong&gt;{current_version}&lt;/strong&gt; ; vous pouvez télécharger la version &lt;strong&gt;{latest_version}&lt;/strong&gt; en utilisant ce lien :	¡Se ha lanzado una nueva versión del software de escritorio AYAB!&lt;br&gt;Estás usando la versión &lt;strong&gt;{current_version}&lt;/strong&gt;; puedes descargar la versión &lt;strong&gt;{latest_version}&lt;/strong&gt; usando este enlace:	AYAB 데스크톱 소프트웨어의 새로운 버전이 출시되었습니다!&lt;br&gt;현재 버전 &lt;strong&gt;{current_version}&lt;/strong&gt;을 사용 중입니다; 이 링크를 통해 버전 &lt;strong&gt;{latest_version}&lt;/strong&gt;을 다운로드할 수 있습니다:	AYABデスクトップソフトウェアの新しいバージョンがリリースされました！&lt;br&gt;現在のバージョン &lt;strong&gt;{current_version}&lt;/strong&gt;を使用しています。バージョン &lt;strong&gt;{latest_version}&lt;/strong&gt;をこのリンクからダウンロードできます：	AYAB桌面软件的新版本已发布！&lt;br&gt;您正在使用版本&lt;strong&gt;{current_version}&lt;/strong&gt;; 您可以使用此链接下载版本&lt;strong&gt;{latest_version}&lt;/strong&gt;：
